ogc_fid,name,year,all,asthma,cancer,chd,copd,deaths3450,diabetes,pct3450,rate3450,stroke,est_pop,sra_id,total_pop,area,hispanic,white,black,asian,veteran
26,Alpine,2000,82,0,19,17,5,50,0,0.61,352.4,8,14188.4224931875,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2001,128,0,29,30,12,87,0,0.68,601,12,14475.8735440932,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2002,128,0,34,28,9,87,0,0.68,592.8,12,14676.1136625367,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2003,112,0,28,18,11,68,0,0.61,463.3,9,14677.3153014601,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2004,121,0,29,26,8,76,0,0.63,509.2,11,14925.372776523,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2005,108,0,33,9,12,60,0,0.56,400.5,5,14981.2734082397,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2006,108,0,29,17,5,62,5,0.57,415.8,6,14911.0153487716,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2007,117,0,39,13,9,73,5,0.62,481.7,7,15154.6601930799,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2008,146,0,33,28,15,87,7,0.6,566.1,0,15368.3101487421,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2009,124,0,29,17,5,64,0,0.52,410.1,8,15605.9495360859,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2010,128,0,31,18,7,64,0,0.5,425.7,7,15034.0611145848,38,10519,100.87,743,8470,145,1396,2231
26,Alpine,2011,112,0,21,17,5,52,0,0.46,343,7,15160.3498542274,38,10519,100.87,743,8470,145,1396,2231
29,Carlsbad,2000,552,0,150,118,27,357,11,0.65,385.4,51,92631.0341602879,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2001,596,0,160,144,39,396,7,0.66,405.2,46,97729.5133440592,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2002,565,0,154,110,22,334,10,0.59,323.9,38,103118.24831548,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2003,603,0,152,146,30,376,12,0.62,357.2,36,105263.154297451,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2004,634,0,146,135,38,383,9,0.6,360.1,55,106359.342823755,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2005,637,0,179,119,43,384,9,0.6,357.2,33,107502.795878248,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2006,632,0,171,117,28,360,12,0.57,325,32,110769.230769231,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2007,660,0,189,107,36,391,17,0.59,345.5,40,113169.319826339,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2008,623,0,156,99,26,330,10,0.53,286.3,38,115263.714310261,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2009,664,0,163,103,45,361,13,0.54,302.1,37,119496.852931642,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2010,684,0,196,96,37,377,7,0.55,328.6,41,114729.151855596,41,88164,105.343,28778,70841,1768,6033,9272
29,Carlsbad,2011,718,0,177,103,38,375,13,0.52,323.7,44,115848.003045535,41,88164,105.343,28778,70841,1768,6033,9272
1,Central San Diego,2000,1225,0,242,289,57,714,36,0.58,458.2,88,155827.145564848,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2001,1237,0,232,263,59,707,45,0.57,441.2,106,160244.782511076,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2002,1144,0,248,270,45,668,30,0.58,420.1,74,159009.757270844,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2003,1151,0,237,241,41,628,30,0.55,393.4,79,159633.96282239,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2004,1081,0,223,234,59,618,33,0.57,380.5,65,162417.871222076,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2005,1071,0,212,232,40,578,32,0.54,345.9,58,167100.320959524,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2006,1023,0,224,207,43,553,32,0.54,332.9,45,166115.95378159,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2007,984,0,228,192,40,536,25,0.54,315.3,50,169996.834998911,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2008,1019,0,215,193,52,550,25,0.54,313.9,63,175215.040042777,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2009,1012,0,233,192,38,535,28,0.53,302.8,40,176684.287175663,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2010,959,0,218,191,45,534,40,0.56,322.5,40,165581.395348837,1,195594,43.2972,41247,118385,15885,36877,26823
1,Central San Diego,2011,957,5,229,157,51,507,29,0.53,305.5,36,165957.446808511,1,195594,43.2972,41247,118385,15885,36877,26823
16,Chula Vista,2000,1071,0,257,302,56,733,27,0.68,673.1,90,108899.127408513,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2001,1146,0,286,322,55,780,26,0.68,705.9,88,110497.233747434,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2002,1034,0,231,266,54,653,32,0.63,585.5,68,111528.608027327,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2003,1087,0,262,271,56,718,40,0.66,643,89,111664.074650078,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2004,1103,0,263,270,61,695,26,0.63,620.6,74,111988.402729765,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2005,1180,0,314,268,56,752,40,0.64,663.1,71,113406.730159431,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2006,1065,0,251,238,49,651,41,0.61,583.4,71,111587.24250206,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2007,1101,0,245,255,51,664,46,0.6,588.8,67,112771.741468424,21,115291,43.9995,40736,78524,12663,7117,12840
16,Chula Vista,2008,1100,0,250,221,53,642,50,0.58,564.5,67,113728.963684677,21,115291,43.9995,40736,78524,12663,7117,12840
