"sra_id","total_pop","area","hispanic","white","black","asian","veteran","pop_density","hisp_pct","hisp_density","white_pct","white_density","black_pct","black_density","asian_pct","asian_density","veteran_pct","veteran_density"
"34","149770","63.9012","16550","103977","3912","29651","14236","2343.78","0.110503","258.994","0.694245","1627.15","0.02612","61.2195","0.197977","464.013","0.0950524","222.781"
"43","9622","553.654","444","8420","172","831","506","17.3791","0.0461443","0.801945","0.875078","15.2081","0.0178757","0.310663","0.0863646","1.50094","0.0525878","0.913928"
"32","34936","11.5887","7383","30183","807","914","4228","3014.66","0.211329","637.085","0.863951","2604.52","0.0230994","69.6367","0.0261621","78.8698","0.121021","364.838"
"12","56513","31.7709","10942","41771","2349","5805","9375","1778.77","0.193619","344.403","0.73914","1314.76","0.0415657","73.9356","0.10272","182.714","0.165891","295.081"
"1","195594","43.2972","41247","118385","15885","36877","26823","4517.47","0.210881","952.648","0.605259","2734.24","0.0812141","366.883","0.188539","851.718","0.137136","619.509"
"10","157925","83.5387","96199","114790","7396","15597","21496","1890.44","0.609144","1151.55","0.726864","1374.09","0.0468324","88.5338","0.0987621","186.704","0.136115","257.318"
"42","160130","117.234","57960","127641","3351","8706","18870","1365.9","0.361956","494.397","0.797109","1088.77","0.0209267","28.5839","0.0543683","74.2619","0.117842","160.961"
"11","109010","62.9908","16250","63346","3779","31126","18093","1730.57","0.149069","257.974","0.581103","1005.64","0.0346665","59.9929","0.285533","494.135","0.165976","287.232"
"39","21406","352.239","3714","8449","2302","7564","3382","60.7713","0.173503","10.544","0.394702","23.9866","0.10754","6.53534","0.353359","21.4741","0.157993","9.60144"
"16","2816","62.1856","982","2607","8","138","198","45.2838","0.348722","15.7914","0.925781","41.9229","0.00284091","0.128647","0.0490057","2.21916","0.0703125","3.18402"
"54","4508","292.577","1001","3590","1","273","361","15.4079","0.22205","3.42133","0.796362","12.2703","0.000221828","0.00341791","0.060559","0.933089","0.0800799","1.23386"
"3","53440","62.0059","22587","35503","2299","9324","5838","861.854","0.422661","364.272","0.664353","572.575","0.0430202","37.0771","0.174476","150.373","0.109244","94.1524"
"61","5464","610.713","531","4464","5","837","1253","8.94691","0.0971816","0.869475","0.816984","7.30948","0.000915081","0.00818715","0.153184","1.37053","0.229319","2.0517"
"13","135412","120.238","26837","92639","8221","18894","15883","1126.2","0.198188","223.199","0.684127","770.463","0.060711","68.3727","0.13953","157.138","0.117294","132.096"
"22","150003","123.074","93902","103168","6715","19324","17058","1218.81","0.626001","762.975","0.687773","838.263","0.0447658","54.5609","0.128824","157.012","0.113718","138.6"
"14","88735","122.655","20152","70806","1813","5116","9832","723.454","0.227103","164.299","0.797949","577.28","0.0204316","14.7813","0.0576548","41.7106","0.110802","80.16"
"55","51582","327.546","18894","39680","1251","4103","5975","157.48","0.366291","57.6835","0.769261","121.143","0.0242526","3.81931","0.0795432","12.5265","0.115835","18.2417"
"17","69660","127.056","38840","46535","2359","9762","7483","548.261","0.557565","305.691","0.66803","366.255","0.0338645","18.5666","0.140138","76.8321","0.107422","58.8951"
"36","48504","199.63","6291","40782","1080","3372","4322","242.969","0.129701","31.5132","0.840797","204.288","0.0222662","5.41","0.06952","16.8912","0.0891061","21.65"
"15","94283","145.011","29469","68937","2737","5923","11446","650.179","0.312559","203.219","0.731171","475.392","0.0290296","18.8744","0.0628215","40.8452","0.1214","78.932"
"38","10519","100.87","743","8470","145","1396","2231","104.282","0.0706341","7.36589","0.80521","83.9691","0.0137846","1.43749","0.132712","13.8395","0.212092","22.1175"
"4","61304","23.3082","22521","40345","4522","9751","7487","2630.15","0.367366","966.228","0.658114","1730.94","0.0737635","194.009","0.15906","418.351","0.122129","321.218"
"30","12475","539.394","733","10171","306","1547","1569","23.1278","0.0587575","1.35893","0.815311","18.8563","0.0245291","0.567303","0.124008","2.86803","0.125772","2.90882"
"60","6692","1440.92","135","5854","14","613","770","4.64424","0.0201733","0.0936898","0.874776","4.06267","0.00209205","0.00971598","0.0916019","0.425421","0.115063","0.534379"
"50","138196","312.433","22689","87486","4469","35311","17951","442.322","0.16418","72.6204","0.633057","280.016","0.0323381","14.3039","0.255514","113.02","0.129895","57.4556"
"33","69608","26.052","13663","61156","1174","1419","7665","2671.89","0.196285","524.451","0.878577","2347.46","0.0168659","45.0637","0.0203856","54.468","0.110117","294.219"
"6","151027","40.9215","80748","84158","19289","17465","20086","3690.65","0.534659","1973.24","0.557238","2056.57","0.127719","471.366","0.115642","426.793","0.132996","490.842"
"40","147825","139.423","47292","105179","6138","6324","12550","1060.26","0.319919","339.198","0.71151","754.388","0.0415221","44.0243","0.0427803","45.3584","0.0848977","90.0138"
"53","32385","290.914","10357","25937","613","2531","3284","111.322","0.319809","35.6016","0.800895","89.157","0.0189285","2.10715","0.0781535","8.70017","0.101405","11.2886"
"62","2456","1171.12","116","1858","4","451","353","2.09713","0.0472313","0.0990501","0.756515","1.58651","0.00162866","0.00341552","0.183632","0.3851","0.14373","0.30142"
"2","80125","36.9208","11087","40570","1633","30550","15416","2170.19","0.138371","300.292","0.506334","1098.84","0.0203807","44.2299","0.381279","827.448","0.192399","417.543"
"21","115291","43.9995","40736","78524","12663","7117","12840","2620.28","0.353332","925.828","0.681094","1784.65","0.109835","287.798","0.0617307","161.752","0.11137","291.821"
"51","64094","77.2952","13341","54346","814","2720","6540","829.211","0.208147","172.598","0.847911","703.097","0.0127001","10.5311","0.0424377","35.1898","0.102038","84.6107"
"41","88164","105.343","28778","70841","1768","6033","9272","836.921","0.326414","273.183","0.803514","672.477","0.0200535","16.7832","0.0684293","57.2699","0.105168","88.017"
"31","86917","49.9584","27997","66563","5303","3691","11235","1739.79","0.322112","560.406","0.765823","1332.37","0.0610122","106.148","0.0424658","73.8815","0.129261","224.887"
"35","52477","37.5058","6973","36582","1248","9977","4674","1399.17","0.132877","185.918","0.697105","975.369","0.0237818","33.2748","0.190121","266.012","0.0890676","124.621"
"52","107074","105.547","47416","87501","1935","6262","14166","1014.47","0.442834","449.242","0.817201","829.027","0.0180716","18.3331","0.0584829","59.3292","0.132301","134.216"
"20","85604","109.104","16490","69119","4199","3576","11008","784.61","0.192631","151.14","0.807427","633.515","0.0490514","38.4862","0.0417737","32.7761","0.128592","100.895"
"5","129215","49.1906","28586","106387","6134","5713","24805","2626.82","0.221228","581.127","0.823333","2162.75","0.0474713","124.699","0.0442131","116.14","0.191967","504.263"
"37","9887","88.9101","891","8831","79","576","455","111.202","0.0901183","10.0214","0.893193","99.3251","0.00799029","0.888538","0.0582583","6.47846","0.04602","5.11753"
